1.1	1.2	1.3	1.4	1.5	1.6	1.7	1.8	1.9	2	2.1	2.2	2.3
1.5	1.7	1.9	2.1	2.3	2.5	2.7	2.9	3.1	3.3	3.5	3.7	3.9
1.9	2.2	2.5	2.8	3.1	3.4	3.7	4	4.3	4.6	4.9	5.2	5.5
2.3	2.7	3.1	3.5	3.9	4.3	4.7	5.1	5.5	5.9	6.3	6.7	7.1
2.7	3.2	3.7	4.2	4.7	5.2	5.7	6.2	6.7	7.2	7.7	8.2	8.7
3.1	3.7	4.3	4.9	5.5	6.1	6.7	7.3	7.9	8.5	9.1	9.7	10.3
3.5	4.2	4.9	5.6	6.3	7	7.7	8.4	9.1	9.8	10.5	11.2	11.9
3.9	4.7	5.5	6.3	7.1	7.9	8.7	9.5	10.3	11.1	11.9	12.7	13.5
4.3	5.2	6.1	7	7.9	8.8	9.7	10.6	11.5	12.4	13.3	14.2	15.1
4.7	5.7	6.7	7.7	8.7	9.7	10.7	11.7	12.7	13.7	14.7	15.7	16.7
5.1	6.2	7.3	8.4	9.5	10.6	11.7	12.8	13.9	15	16.1	17.2	18.3
5.5	6.7	7.9	9.1	10.3	11.5	12.7	13.9	15.1	16.3	17.5	18.7	19.9
5.9	7.2	8.5	9.8	11.1	12.4	13.7	15	16.3	17.6	18.9	20.2	21.5
6.3	7.7	9.1	10.5	11.9	13.3	14.7	16.1	17.5	18.9	20.3	21.7	23.1
6.7	8.2	9.7	11.2	12.7	14.2	15.7	17.2	18.7	20.2	21.7	23.2	24.7
7.1	8.7	10.3	11.9	13.5	15.1	16.7	18.3	19.9	21.5	23.1	24.7	26.3
7.5	9.2	10.9	12.6	14.3	16	17.7	19.4	21.1	22.8	24.5	26.2	27.9
7.9	9.7	11.5	13.3	15.1	16.9	18.7	20.5	22.3	24.1	25.9	27.7	29.5
8.3	10.2	12.1	14	15.9	17.8	19.7	21.6	23.5	25.4	27.3	29.2	31.1
8.7	10.7	12.7	14.7	16.7	18.7	20.7	22.7	24.7	26.7	28.7	30.7	32.7
9.1	11.2	13.3	15.4	17.5	19.6	21.7	23.8	25.9	28	30.1	32.2	34.3
9.5	11.7	13.9	16.1	18.3	20.5	22.7	24.9	27.1	29.3	31.5	33.7	35.9
9.9	12.2	14.5	16.8	19.1	21.4	23.7	26	28.3	30.6	32.9	35.2	37.5
10.3	12.7	15.1	17.5	19.9	22.3	24.7	27.1	29.5	31.9	34.3	36.7	39.1
10.7	13.2	15.7	18.2	20.7	23.2	25.7	28.2	30.7	33.2	35.7	38.2	40.7
11.1	13.7	16.3	18.9	21.5	24.1	26.7	29.3	31.9	34.5	37.1	39.7	42.3
11.5	14.2	16.9	19.6	22.3	25	27.7	30.4	33.1	35.8	38.5	41.2	43.9
11.9	14.7	17.5	20.3	23.1	25.9	28.7	31.5	34.3	37.1	39.9	42.7	45.5
12.3	15.2	18.1	21	23.9	26.8	29.7	32.6	35.5	38.4	41.3	44.2	47.1
12.7	15.7	18.7	21.7	24.7	27.7	30.7	33.7	36.7	39.7	42.7	45.7	48.7
13.1	16.2	19.3	22.4	25.5	28.6	31.7	34.8	37.9	41	44.1	47.2	50.3
13.5	16.7	19.9	23.1	26.3	29.5	32.7	35.9	39.1	42.3	45.5	48.7	51.9
13.9	17.2	20.5	23.8	27.1	30.4	33.7	37	40.3	43.6	46.9	50.2	53.5
14.3	17.7	21.1	24.5	27.9	31.3	34.7	38.1	41.5	44.9	48.3	51.7	55.1
14.7	18.2	21.7	25.2	28.7	32.2	35.7	39.2	42.7	46.2	49.7	53.2	56.7
15.1	18.7	22.3	25.9	29.5	33.1	36.7	40.3	43.9	47.5	51.1	54.7	58.3
15.5	19.2	22.9	26.6	30.3	34	37.7	41.4	45.1	48.8	52.5	56.2	59.9
15.9	19.7	23.5	27.3	31.1	34.9	38.7	42.5	46.3	50.1	53.9	57.7	61.5
